Site,timestamp,temperature,radiation,power
siteA,2019-01-02 10:30:00,25.92,894,18.24
siteA,2019-01-02 10:45:00,26.28,932,17.55
siteA,2019-01-02 11:00:00,26.65,970,17.04
siteA,2019-01-02 11:15:00,27.01,995,16.75
siteA,2019-01-02 11:30:00,27.37,1019,14.4
siteA,2019-01-02 11:45:00,27.73,1043,14.09
siteA,2019-01-02 12:00:00,28.1,1068,14.64
siteA,2019-01-02 12:15:00,28.22,1076,15.38
siteA,2019-01-02 12:30:00,28.35,1084,15.58
siteA,2019-01-02 12:45:00,28.47,1092,18.18
siteA,2019-01-02 13:00:00,28.6,1100,19.74
siteA,2019-01-02 13:15:00,28.22,1091,20.15
siteA,2019-01-02 13:30:00,27.85,1082,19.65
siteA,2019-01-02 13:45:00,27.47,1074,18.3
siteA,2019-01-02 14:00:00,27.1,1065,18.02
siteA,2019-01-02 14:15:00,26.72,1040,17
siteA,2019-01-02 14:30:00,26.35,1015,15.52
siteA,2019-01-02 14:45:00,25.97,990,16.08
siteA,2019-01-02 15:00:00,25.6,965,17.5
siteA,2019-01-02 15:15:00,25.25,926,19.86
siteA,2019-01-02 15:30:00,24.9,887,19.63
siteA,2019-01-02 15:45:00,24.55,848,19.2
siteA,2019-01-02 16:00:00,24.2,809,18.89
siteA,2019-01-02 16:15:00,24.2,760,18.33
siteA,2019-01-02 16:30:00,24.2,710,16.66
siteA,2019-01-02 16:45:00,24.2,661,15.92
siteA,2019-01-02 17:00:00,24.2,612,16.35
siteA,2019-01-02 17:15:00,24.2,556,17.33
siteA,2019-01-02 17:30:00,24.2,501,19.9
siteA,2019-01-02 17:45:00,24.2,446,19.63
siteA,2019-01-02 18:00:00,24.2,391,19.46
siteA,2019-01-02 18:15:00,24.15,336,5.2
siteA,2019-01-02 18:30:00,24.1,281,5.2
siteA,2019-01-02 18:45:00,24.05,226,5.2
siteA,2019-01-02 19:00:00,24,172,5.2
siteA,2019-01-02 19:15:00,23.91,130,5.2
siteA,2019-01-02 19:30:00,23.82,89,5.2
siteA,2019-01-02 19:45:00,23.73,47,5.2
siteA,2019-01-02 20:00:00,23.65,6,5.2
siteA,2019-01-02 20:15:00,23.56,4,5.2
siteA,2019-01-02 20:30:00,23.47,3,5.2
siteA,2019-01-02 20:45:00,23.38,1,5.2
siteA,2019-01-02 21:00:00,23.3,0,5.2
siteA,2019-01-02 21:15:00,23.17,0,5.2
siteA,2019-01-02 21:30:00,23.05,0,5.2
siteA,2019-01-02 21:45:00,22.92,0,5.2
siteA,2019-01-02 22:00:00,22.8,0,4.8
siteA,2019-01-02 22:15:00,22.71,0,4.8
siteA,2019-01-02 22:30:00,22.62,0,4.8
siteA,2019-01-02 22:45:00,22.53,0,4.8
siteA,2019-01-02 23:00:00,22.45,0,4.8
siteA,2019-01-02 23:15:00,22.36,0,4.8
siteA,2019-01-02 23:30:00,22.27,0,4.8
siteA,2019-01-02 23:45:00,22.18,0,4.8
siteA,2019-01-03 00:00:00,22.1,0,4.8
siteA,2019-01-03 00:15:00,22.02,0,4.8
siteA,2019-01-03 00:30:00,21.95,0,4.8
siteA,2019-01-03 00:45:00,21.87,0,4.8
siteA,2019-01-03 01:00:00,21.8,0,4.8
siteA,2019-01-03 01:15:00,21.78,0,4.8
siteA,2019-01-03 01:30:00,21.77,0,4.8
siteA,2019-01-03 01:45:00,21.76,0,4.8
siteA,2019-01-03 02:00:00,21.75,0,4.8
siteA,2019-01-03 02:15:00,21.73,0,4.8
siteA,2019-01-03 02:30:00,21.72,0,4.8
siteA,2019-01-03 02:45:00,21.71,0,4.8
siteA,2019-01-03 03:00:00,21.7,0,4.8
siteA,2019-01-03 03:15:00,21.75,0,4.8
siteA,2019-01-03 03:30:00,21.79,0,4.8
siteA,2019-01-03 03:45:00,21.85,0,4.8
siteA,2019-01-03 04:00:00,21.9,0,4.8
siteA,2019-01-03 04:15:00,21.85,0,4.8
siteA,2019-01-03 04:30:00,21.79,0,4.8
siteA,2019-01-03 04:45:00,21.75,0,4.8
siteA,2019-01-03 05:00:00,21.7,0,4.8
siteA,2019-01-03 05:15:00,21.65,2,4.8
siteA,2019-01-03 05:30:00,21.6,4,4.8
siteA,2019-01-03 05:45:00,21.55,6,4.8
siteA,2019-01-03 06:00:00,21.5,8,4.8
siteA,2019-01-03 06:15:00,21.72,51,4.8
siteA,2019-01-03 06:30:00,21.95,93,4.8
siteA,2019-01-03 06:45:00,22.17,136,4.8
siteA,2019-01-03 07:00:00,22.4,178,4.8
siteA,2019-01-03 07:15:00,22.52,233,4.8
siteA,2019-01-03 07:30:00,22.65,288,4.8
siteA,2019-01-03 07:45:00,22.77,343,4.8
siteA,2019-01-03 08:00:00,22.9,397,4.96
siteA,2019-01-03 08:15:00,23.02,453,4.96
siteA,2019-01-03 08:30:00,23.15,508,15.66
siteA,2019-01-03 08:45:00,23.27,563,14.57
siteA,2019-01-03 09:00:00,23.4,618,14.87
siteA,2019-01-03 09:15:00,24.02,667,15.07
siteA,2019-01-03 09:30:00,24.65,716,14.93
siteA,2019-01-03 09:45:00,25.27,766,14.9
siteA,2019-01-03 10:00:00,25.9,815,14.76
siteA,2019-01-03 10:15:00,26.07,853,12.72
siteA,2019-01-03 10:30:00,26.25,892,11.72
siteA,2019-01-03 10:45:00,26.42,930,11.72
siteA,2019-01-03 11:00:00,26.6,969,12.76
siteA,2019-01-03 11:15:00,26.77,993,15.04
siteA,2019-01-03 11:30:00,26.95,1018,13.93
siteA,2019-01-03 11:45:00,27.12,1042,15
siteA,2019-01-03 12:00:00,27.3,1067,14.84
siteA,2019-01-03 12:15:00,27.22,1075,16.71
siteA,2019-01-03 12:30:00,27.15,1083,15.19
siteA,2019-01-03 12:45:00,27.07,1091,14.06
siteA,2019-01-03 13:00:00,27,1100,14.06
siteA,2019-01-03 13:15:00,26.82,1091,14.86
siteA,2019-01-03 13:30:00,26.65,1082,15.21
siteA,2019-01-03 13:45:00,26.47,1074,15.61
siteA,2019-01-03 14:00:00,26.3,1065,17.33
siteA,2019-01-03 14:15:00,26.12,1040,19.6
siteA,2019-01-03 14:30:00,25.95,1015,19.53
siteA,2019-01-03 14:45:00,25.77,991,19.21
siteA,2019-01-03 15:00:00,25.6,966,18.91
siteA,2019-01-03 15:15:00,25.52,927,18.38
siteA,2019-01-03 15:30:00,25.45,888,17.53
siteA,2019-01-03 15:45:00,25.37,849,17.54
siteA,2019-01-03 16:00:00,25.3,810,15.76
siteA,2019-01-03 16:15:00,25.26,761,16.29
siteA,2019-01-03 16:30:00,25.22,711,16.34
siteA,2019-01-03 16:45:00,25.18,662,18.05
siteA,2019-01-03 17:00:00,25.15,613,19.55
siteA,2019-01-03 17:15:00,25.11,557,19.13
siteA,2019-01-03 17:30:00,25.07,502,19.28
siteA,2019-01-03 17:45:00,25.03,447,19.25
siteA,2019-01-03 18:00:00,25,391,18.37
siteA,2019-01-03 18:15:00,24.9,337,5.2
siteA,2019-01-03 18:30:00,24.8,282,5.2
siteA,2019-01-03 18:45:00,24.7,227,5.2
siteA,2019-01-03 19:00:00,24.6,172,5.2
siteA,2019-01-03 19:15:00,24.55,131,5.2
siteA,2019-01-03 19:30:00,24.5,89,5.2
siteA,2019-01-03 19:45:00,24.45,48,5.2
siteA,2019-01-03 20:00:00,24.4,6,5.2
siteA,2019-01-03 20:15:00,24.35,5,5.2
siteA,2019-01-03 20:30:00,24.3,3,5.2
siteA,2019-01-03 20:45:00,24.25,2,5.2
siteA,2019-01-03 21:00:00,24.2,0,5.2
siteA,2019-01-03 21:15:00,24.07,0,5.2
siteA,2019-01-03 21:30:00,23.95,0,5.2
siteA,2019-01-03 21:45:00,23.82,0,5.2
siteA,2019-01-03 22:00:00,23.7,0,4.8
siteA,2019-01-03 22:15:00,23.6,0,4.8
siteA,2019-01-03 22:30:00,23.5,0,4.8
siteA,2019-01-03 22:45:00,23.4,0,4.8
siteA,2019-01-03 23:00:00,23.29,0,4.8
siteA,2019-01-03 23:15:00,23.2,0,4.8
siteA,2019-01-03 23:30:00,23.1,0,4.8
siteA,2019-01-03 23:45:00,23,0,4.8
siteA,2019-01-04 00:00:00,22.9,0,4.8
siteA,2019-01-04 00:15:00,22.77,0,4.8
siteA,2019-01-04 00:30:00,22.65,0,4.8
siteA,2019-01-04 00:45:00,22.52,0,4.8
siteA,2019-01-04 01:00:00,22.4,0,4.8
siteA,2019-01-04 01:15:00,22.28,0,4.8
siteA,2019-01-04 01:30:00,22.17,0,4.8
siteA,2019-01-04 01:45:00,22.06,0,4.8
siteA,2019-01-04 02:00:00,21.95,0,4.8
siteA,2019-01-04 02:15:00,21.83,0,4.8
siteA,2019-01-04 02:30:00,21.72,0,4.8
siteA,2019-01-04 02:45:00,21.61,0,4.8
siteA,2019-01-04 03:00:00,21.5,0,4.8
siteA,2019-01-04 03:15:00,21.42,0,4.8
siteA,2019-01-04 03:30:00,21.35,0,4.8
siteA,2019-01-04 03:45:00,21.27,0,4.8
siteA,2019-01-04 04:00:00,21.2,0,4.8
siteA,2019-01-04 04:15:00,21.18,0,4.8
siteA,2019-01-04 04:30:00,21.17,0,4.8
siteA,2019-01-04 04:45:00,21.16,0,4.8
siteA,2019-01-04 05:00:00,21.15,0,4.8
siteA,2019-01-04 05:15:00,21.13,2,4.8
siteA,2019-01-04 05:30:00,21.12,4,4.8
siteA,2019-01-04 05:45:00,21.11,6,4.8
siteA,2019-01-04 06:00:00,21.1,7,4.8
siteA,2019-01-04 06:15:00,21.12,49,4.8
siteA,2019-01-04 06:30:00,21.15,91,4.8
siteA,2019-01-04 06:45:00,21.17,133,4.8
siteA,2019-01-04 07:00:00,21.2,175,4.8
siteA,2019-01-04 07:15:00,21.56,230,4.8
siteA,2019-01-04 07:30:00,21.92,285,4.8
siteA,2019-01-04 07:45:00,22.28,340,4.8
siteA,2019-01-04 08:00:00,22.65,395,4.96
siteA,2019-01-04 08:15:00,23.01,450,4.96
siteA,2019-01-04 08:30:00,23.37,505,16.17
siteA,2019-01-04 08:45:00,23.73,560,13.27
siteA,2019-01-04 09:00:00,24.1,616,13.28
siteA,2019-01-04 09:15:00,24.55,665,13.06
siteA,2019-01-04 09:30:00,25,714,14.14
siteA,2019-01-04 09:45:00,25.45,764,14.16
siteA,2019-01-04 10:00:00,25.9,813,14.79
siteA,2019-01-04 10:15:00,25.85,852,11.82
siteA,2019-01-04 10:30:00,25.79,890,11.73
siteA,2019-01-04 10:45:00,25.75,929,11.58
siteA,2019-01-04 11:00:00,25.7,967,12.6
siteA,2019-01-04 11:15:00,25.65,992,14.89
siteA,2019-01-04 11:30:00,25.6,1017,14.88
siteA,2019-01-04 11:45:00,25.55,1041,15.17
siteA,2019-01-04 12:00:00,25.5,1066,14.87
siteA,2019-01-04 12:15:00,25.9,1074,14.86
siteA,2019-01-04 12:30:00,26.3,1083,14.85
siteA,2019-01-04 12:45:00,26.7,1091,14.68
siteA,2019-01-04 13:00:00,27.1,1099,14.68
siteA,2019-01-04 13:15:00,27.08,1091,14.89
siteA,2019-01-04 13:30:00,27.07,1082,15.28
siteA,2019-01-04 13:45:00,27.06,1074,21.01
siteA,2019-01-04 14:00:00,27.05,1065,19.35
siteA,2019-01-04 14:15:00,27.03,1040,19.02
siteA,2019-01-04 14:30:00,27.02,1016,17.71
siteA,2019-01-04 14:45:00,27.01,991,17.6
siteA,2019-01-04 15:00:00,27,966,17.53
siteA,2019-01-04 15:15:00,27,927,14.61
siteA,2019-01-04 15:30:00,27,889,14.93
siteA,2019-01-04 15:45:00,27,850,15.94
siteA,2019-01-04 16:00:00,27,811,16.82
siteA,2019-01-04 16:15:00,27,762,17.25
siteA,2019-01-04 16:30:00,27,712,19.61
siteA,2019-01-04 16:45:00,27,663,19.74
siteA,2019-01-04 17:00:00,27,613,19.27
siteA,2019-01-04 17:15:00,27,558,19.07
siteA,2019-01-04 17:30:00,27,503,18.66
siteA,2019-01-04 17:45:00,27,448,18.15
siteA,2019-01-04 18:00:00,27,392,15.37
siteA,2019-01-04 18:15:00,26.97,338,5.2
siteA,2019-01-04 18:30:00,26.95,283,5.2
siteA,2019-01-04 18:45:00,26.92,228,5.2
siteA,2019-01-04 19:00:00,26.9,173,5.2
siteA,2019-01-04 19:15:00,26.61,131,5.2
siteA,2019-01-04 19:30:00,26.32,90,5.2
siteA,2019-01-04 19:45:00,26.03,48,5.2
siteA,2019-01-04 20:00:00,25.75,6,5.2
siteA,2019-01-04 20:15:00,25.46,5,5.2
siteA,2019-01-04 20:30:00,25.17,3,5.2
siteA,2019-01-04 20:45:00,24.88,2,5.2
siteA,2019-01-04 21:00:00,24.6,0,5.2
siteA,2019-01-04 21:15:00,24.4,0,5.2
siteA,2019-01-04 21:30:00,24.2,0,5.2
siteA,2019-01-04 21:45:00,24,0,5.2
siteA,2019-01-04 22:00:00,23.8,0,4.8
siteA,2019-01-04 22:15:00,23.71,0,4.8
siteA,2019-01-04 22:30:00,23.62,0,4.8
siteA,2019-01-04 22:45:00,23.53,0,4.8
siteA,2019-01-04 23:00:00,23.45,0,4.8
siteA,2019-01-04 23:15:00,23.36,0,4.8
siteA,2019-01-04 23:30:00,23.27,0,4.8
siteA,2019-01-04 23:45:00,23.18,0,4.8
siteA,2019-01-05 00:00:00,23.1,0,4.8
siteA,2019-01-05 00:15:00,23.07,0,4.8
siteA,2019-01-05 00:30:00,23.05,0,4.8
siteA,2019-01-05 00:45:00,23.02,0,4.8
siteA,2019-01-05 01:00:00,23,0,4.8
siteA,2019-01-05 01:15:00,23.02,0,4.8
siteA,2019-01-05 01:30:00,23.05,0,4.8
siteA,2019-01-05 01:45:00,23.07,0,4.8
siteA,2019-01-05 02:00:00,23.1,0,4.8
siteA,2019-01-05 02:15:00,23.12,0,4.8
siteA,2019-01-05 02:30:00,23.15,0,4.8
siteA,2019-01-05 02:45:00,23.17,0,4.8
siteA,2019-01-05 03:00:00,23.2,0,4.8
siteA,2019-01-05 03:15:00,23.12,0,4.8
siteA,2019-01-05 03:30:00,23.04,0,4.8
siteA,2019-01-05 03:45:00,22.97,0,4.8
siteA,2019-01-05 04:00:00,22.9,0,4.8
siteA,2019-01-05 04:15:00,22.93,0,4.8
siteA,2019-01-05 04:30:00,22.97,0,4.8
siteA,2019-01-05 04:45:00,23.01,0,4.8
siteA,2019-01-05 05:00:00,23.04,0,4.8
siteA,2019-01-05 05:15:00,23.08,2,4.8
siteA,2019-01-05 05:30:00,23.12,3,4.8
siteA,2019-01-05 05:45:00,23.16,5,4.8
siteA,2019-01-05 06:00:00,23.2,6,4.8
siteA,2019-01-05 06:15:00,23.4,48,4.8
siteA,2019-01-05 06:30:00,23.6,90,4.8
siteA,2019-01-05 06:45:00,23.8,131,4.8
siteA,2019-01-05 07:00:00,24,173,4.8
siteA,2019-01-05 07:15:00,25.02,228,4.8
siteA,2019-01-05 07:30:00,26.05,283,4.8
siteA,2019-01-05 07:45:00,27.07,337,4.8
siteA,2019-01-05 08:00:00,28.1,392,4.96
siteA,2019-01-05 08:15:00,29.12,448,4.96
siteA,2019-01-05 08:30:00,30.15,503,17.33
siteA,2019-01-05 08:45:00,31.17,558,15.25
siteA,2019-01-05 09:00:00,32.2,613,21.26
siteA,2019-01-05 09:15:00,32.8,663,18.98
siteA,2019-01-05 09:30:00,33.4,712,18.82
siteA,2019-01-05 09:45:00,34,761,17.81
siteA,2019-01-05 10:00:00,34.6,811,17.48
siteA,2019-01-05 10:15:00,34.66,850,17.63
siteA,2019-01-05 10:30:00,34.72,888,16.06
siteA,2019-01-05 10:45:00,34.78,927,15.33
siteA,2019-01-05 11:00:00,34.85,966,15.99
siteA,2019-01-05 11:15:00,34.91,991,18.36
siteA,2019-01-05 11:30:00,34.97,1015,20.11
siteA,2019-01-05 11:45:00,35.03,1040,20
siteA,2019-01-05 12:00:00,35.1,1065,19.16
siteA,2019-01-05 12:15:00,33.79,1073,18.17
siteA,2019-01-05 12:30:00,32.5,1082,16.17
siteA,2019-01-05 12:45:00,31.2,1090,16.61
siteA,2019-01-05 13:00:00,29.9,1099,19.88
siteA,2019-01-05 13:15:00,29.53,1090,19.79
siteA,2019-01-05 13:30:00,29.17,1082,19.53
siteA,2019-01-05 13:45:00,28.81,1074,18.57
siteA,2019-01-05 14:00:00,28.45,1065,18.49
siteA,2019-01-05 14:15:00,28.08,1041,16.08
siteA,2019-01-05 14:30:00,27.72,1016,15.93
siteA,2019-01-05 14:45:00,27.36,991,17.65
siteA,2019-01-05 15:00:00,27,967,19.73
siteA,2019-01-05 15:15:00,26.57,928,19.78
siteA,2019-01-05 15:30:00,26.15,889,19.5
siteA,2019-01-05 15:45:00,25.72,850,18.34
siteA,2019-01-05 16:00:00,25.3,812,18.47
siteA,2019-01-05 16:15:00,24.9,762,15.88
siteA,2019-01-05 16:30:00,24.5,713,16.68
siteA,2019-01-05 16:45:00,24.1,664,16.98
siteA,2019-01-05 17:00:00,23.7,614,19.25
siteA,2019-01-05 17:15:00,23.3,559,19.81
siteA,2019-01-05 17:30:00,22.9,504,19.92
siteA,2019-01-05 17:45:00,22.5,448,19.56
siteA,2019-01-05 18:00:00,22.1,393,18.96
siteA,2019-01-05 18:15:00,21.7,338,5.2
siteA,2019-01-05 18:30:00,21.3,283,5.2
siteA,2019-01-05 18:45:00,20.9,229,5.2
siteA,2019-01-05 19:00:00,20.5,174,5.2
siteA,2019-01-05 19:15:00,20.46,132,5.2
siteA,2019-01-05 19:30:00,20.42,90,5.2
siteA,2019-01-05 19:45:00,20.38,48,5.2
siteA,2019-01-05 20:00:00,20.35,6,5.2
siteA,2019-01-05 20:15:00,20.31,5,5.2
siteA,2019-01-05 20:30:00,20.27,3,5.2
siteA,2019-01-05 20:45:00,20.23,2,5.2
siteA,2019-01-05 21:00:00,20.2,0,5.2
siteA,2019-01-05 21:15:00,20.25,0,5.2
siteA,2019-01-05 21:30:00,20.29,0,5.2
siteA,2019-01-05 21:45:00,20.34,0,5.2
siteA,2019-01-05 22:00:00,20.39,0,4.8
siteA,2019-01-05 22:15:00,20.33,0,4.8
siteA,2019-01-05 22:30:00,20.27,0,4.8
siteA,2019-01-05 22:45:00,20.21,0,4.8
siteA,2019-01-05 23:00:00,20.14,0,4.8
siteA,2019-01-05 23:15:00,20.08,0,4.8
siteA,2019-01-05 23:30:00,20.02,0,4.8
siteA,2019-01-05 23:45:00,19.96,0,4.8
siteA,2019-01-06 00:00:00,19.89,0,4.8
siteA,2019-01-06 00:15:00,19.87,0,4.8
siteA,2019-01-06 00:30:00,19.85,0,4.8
siteA,2019-01-06 00:45:00,19.82,0,4.8
siteA,2019-01-06 01:00:00,19.8,0,4.8
siteA,2019-01-06 01:15:00,19.7,0,4.8
siteA,2019-01-06 01:30:00,19.6,0,4.8
siteA,2019-01-06 01:45:00,19.5,0,4.8
siteA,2019-01-06 02:00:00,19.39,0,4.8
siteA,2019-01-06 02:15:00,19.3,0,4.8
siteA,2019-01-06 02:30:00,19.2,0,4.8
siteA,2019-01-06 02:45:00,19.1,0,4.8
siteA,2019-01-06 03:00:00,19,0,4.8
siteA,2019-01-06 03:15:00,18.85,0,4.8
siteA,2019-01-06 03:30:00,18.7,0,4.8
siteA,2019-01-06 03:45:00,18.54,0,4.8
siteA,2019-01-06 04:00:00,18.39,0,4.8
siteA,2019-01-06 04:15:00,18.39,0,4.8
siteA,2019-01-06 04:30:00,18.39,0,4.8
siteA,2019-01-06 04:45:00,18.39,0,4.8
siteA,2019-01-06 05:00:00,18.39,0,4.8
siteA,2019-01-06 05:15:00,18.39,1,4.8
siteA,2019-01-06 05:30:00,18.39,3,4.8
siteA,2019-01-06 05:45:00,18.39,4,4.8
siteA,2019-01-06 06:00:00,18.39,5,4.8
siteA,2019-01-06 06:15:00,18.37,46,4.8
siteA,2019-01-06 06:30:00,18.35,88,4.8
siteA,2019-01-06 06:45:00,18.32,129,4.8
siteA,2019-01-06 07:00:00,18.3,170,4.8
siteA,2019-01-06 07:15:00,18.3,225,4.8
siteA,2019-01-06 07:30:00,18.3,280,4.8
siteA,2019-01-06 07:45:00,18.3,335,4.8
siteA,2019-01-06 08:00:00,18.3,390,4.96
siteA,2019-01-06 08:15:00,18.3,445,4.96
siteA,2019-01-06 08:30:00,18.3,500,14.11
siteA,2019-01-06 08:45:00,18.3,556,10.26
siteA,2019-01-06 09:00:00,18.3,611,10.06
